mint,disc_6h,disc_24h,surv_24h,disc_accel,regime_scans_24h,pre_bars,pre_res_s,r_5m,r_15m,r_30m,r_60m,range_30m,vol_accel,above_first
5xRRRd1fhGyBY2u31isvkL3rLtYUFXvau3JgkwiKpump,120,660,68,0.2222222222222222,11,,,,,,,,,
4PRz3EwhbjrrX6YksMDuUzrXT51pr7CQtXNCravhpump,120,660,68,0.2222222222222222,11,5,3600,nan,nan,nan,-0.07841014838200622,0.6090513156760322,0.385254140949814,41.223781310461156
49tvQ5zXMxHu7mk6nqcCe9SrQ5ePxBFSKFX5jvDgpump,120,660,68,0.2222222222222222,11,,,,,,,,,
3xaDR6gxCp92SZRJ1zMigoRAUMkQGNmFF9HvGT94pump,180,720,76,0.3333333333333333,12,,,,,,,,,
29pNSDP2nSzQVMXjqc5HtLmnu4yK7JfZuKP9Lb3Epump,180,720,76,0.3333333333333333,12,,,,,,,,,
Dur39Hv43Uw4HU9Zr4RUB7mH6kqmYdPpZfENup6Xpump,180,720,76,0.3333333333333333,12,,,,,,,,,
HMX8oxVFtpxz92NeoSifkQrJATwEpKQMDjVBbrmppump,180,780,87,0.3,13,,,,,,,,,
9uaWRZvAyrM21JsWwCraQ5dGzdBtBgP1Y39L7hQzpump,180,780,87,0.3,13,,,,,,,,,
F2fcE5sjDuSMVrj56Q7Pg9ha7cHfpTzuUTkVJxKdpump,240,840,93,0.4,14,,,,,,,,,
A8wXmAgVy3peeHtifXNvYUUirGdNu4ezJoDno9trpump,240,840,93,0.4,14,,,,,,,,,
GkMYEzG1Gd1m5xeqkq6PaomkPmvcSSm3X6YwNvGipump,300,900,101,0.5,15,,,,,,,,,
8NGpdSE1tZqUrvpUVqsn5Revncc6yUafk8mnAyK9fNCE,360,1020,108,0.5454545454545454,17,57,3600,nan,nan,nan,0.10788955433432923,0.35990208680813773,2.8929900404250377,0.9041110125158922
3Za1FSXHbLcYSFKNTdMt27ZKhFLVo1JsWbQY4yfbpump,420,960,92,0.7777777777777778,16,,,,,,,,,
CMx1EUTXhnUKYF5xYMCSkDmJfvRSD7a4iwayW1DVpump,420,960,92,0.7777777777777778,16,,,,,,,,,
6kMcUKLubWNtXSH33aisVF3cQ2otD9Fz7L8E7U2ipump,420,1020,95,0.7,17,,,,,,,,,
GFNRTrBAz4QvCFkyhvW4hGkLjkHkfZbwAUEH83Gr7GjC,420,1020,95,0.7,17,,,,,,,,,
5UQNY2hk4fgaDYL8Cq2SgVZ97q7Uvb95aAuSG18dpump,420,1020,95,0.7,17,,,,,,,,,
2mDmh6PxiPPYgYNrbQZtMKTUwkX4FCb3MMm7Skewpump,420,1020,95,0.7,17,,,,,,,,,
HJvNERycZQP6uL5qFEgr7AJLACtR2M38uhej6vSYpump,300,1020,97,0.4166666666666667,17,,,,,,,,,
hrmvPdczhB6UxQ6bjhZTk6XN72ezJ1mSgiNKeYzTnor,300,1020,97,0.4166666666666667,17,,,,,,,,,
NomAQD5TpLy2NSJAmNqENB3uXpUxweNmvS4NwKHpump,300,1020,97,0.4166666666666667,17,,,,,,,,,
7f5vGM47S6oSSDHnyPLwem2Nn4fy8WNXYvMwDWCBLiEt,300,1020,98,0.4166666666666667,17,,,,,,,,,
9rLL2r2NZNo5ctoYsurwDo35Bx7yKgt2HTWyVowjpump,300,1020,98,0.4166666666666667,17,,,,,,,,,
FsBsv7svcEwMkioVck7cno14YPmiwnXuR3J91UJ5pump,360,1020,96,0.5454545454545454,17,,,,,,,,,
EYn6tC4LAoshxvFeQmWU5g8hdNeqdssSGdN5vZCWpump,360,1020,96,0.5454545454545454,17,,,,,,,,,
2UQCVGq2BRoqSTs9NF9X7e6GCm7HZzSu4jNpw7vzpump,120,960,88,0.14285714285714285,16,,,,,,,,,
wobYcxYiABaM6qByXMuBdespq3DPLNuSYqUpMmBpump,120,960,88,0.14285714285714285,16,78,3600,nan,nan,nan,0.11883181966054801,0.20767785906696215,0.729051093012089,11.982768854382101
7BEPYMVq3X9JFes4JDervkrJQ7TNDeBEd4L1nuGpump,120,900,77,0.15384615384615385,15,,,,,,,,,
ABDR768zqomnEPkHT4y1p1W3JTsLwpJxRhbSSWKcpump,120,900,77,0.15384615384615385,15,,,,,,,,,
N5BpqcxRy1ogo8hQixZm4E2axpdqj8WivqbWoaSpump,120,720,54,0.2,12,5,3600,nan,nan,nan,-0.06467446953175737,1.2029357465156347,4.960263167011127,1.7715055988589632
CJCrQsBL4rAwmGEcEv2dzNER5mYRFEzjwN5CWKz1fqou,120,720,54,0.2,12,,,,,,,,,
6uYAQyXYMQ5sTNPRZmYSVMGTAzgkTrK5mGtHpPYCpump,120,720,54,0.2,12,,,,,,,,,
E2ueKQ3EDTTmCkUA17j3KeTb2u6VT91xiyECdKRzpump,120,720,54,0.2,12,9,3600,nan,nan,nan,0.09960506524156698,0.4791362480669019,0.9052350782098415,32.454029486136456
NpqoucNKKJ62PwikH4NBvTm3R7mgREXoTtv7nJSGLUE,120,720,54,0.2,12,120,3600,nan,nan,nan,-0.03909355978329232,0.06621745261969608,0.5703961341295509,-0.17316548828124656
6YZm2PVLBozyfvGrMTrZbZHxYQz8aFG3sm6rCfw3pump,120,660,53,0.2222222222222222,11,,,,,,,,,
CPtvQTf8bXKPx4wQTpVkB9StqcXnVdpz8WN2UZaopump,120,660,53,0.2222222222222222,11,,,,,,,,,
FXWG1swRjTfGR2uCqa4TfJc6FrVqB1GQtME4e6yopump,120,660,53,0.2222222222222222,11,,,,,,,,,
