mint,disc_6h,disc_24h,surv_24h,disc_accel,regime_scans_24h,pre_bars,pre_res_s,r_5m,r_15m,r_30m,r_60m,range_30m,vol_accel,above_first
AsHhg6ZXnuQ2VDfSzMp2L9cJV7hH8TiFVDrCPKrYpump,277,767,86,0.5653061224489796,14,,,,,,,,,
AkrALZfCDAgfVeCTMb1Xh9rWNn4XTPXzD3FEGFEtpump,277,767,86,0.5653061224489796,14,,,,,,,,,
BfPxiUJwhvQVxJvgeJg3DmJhJ54MYN8twnWG7owPpump,347,784,98,0.7940503432494279,14,,,,,,,,,
EBZruSYTRGqr4EwLcpT59vkLpLUutxagAYb49mo3pump,120,796,118,0.17751479289940827,14,12,900,nan,-0.263412009266324,-0.26285777657752785,-0.3802659013308102,0.5735202334426233,0.2840970713156431,4.178853741703388
d1bLTAXaYxRsdQ9SX7MX7N3pJE3uFLLh8qkmMEcpump,180,856,123,0.26627218934911245,15,10,900,nan,0.018351268309201085,-0.007256643653009931,0.7293060997917526,0.505683518754974,0.26694785193921766,34.39863454030336
7Cj9EczteUsSu1vgPXoLdVcxLqpCWwyYWn8kgwDwpump,180,863,121,0.2635431918008785,15,,,,,,,,,
BseYv6zjFcfTcSqtSb84BYjZpWBfGdgg4YanhKgCpump,180,863,121,0.2635431918008785,15,,,,,,,,,
Af72QENbvReeKywXQvi3GRgfWbKF8LdncwCjoQ9npump,240,866,120,0.38338658146964855,15,,,,,,,,,
XSTuo1fV7HHMhs4BYiwtrWSLsMCJNrooH2AssWTYZqP,240,866,120,0.38338658146964855,15,16,3600,nan,nan,nan,0.00019146157593352697,0.00471649414558535,0.405516140555208,80.8220784365616
HJQC4xW9k3gxstQ65UjAwq7D9EQ38NaJiQNayjPopump,240,876,114,0.37735849056603776,15,5,900,nan,-0.9874092720607653,-0.9912654602952206,-0.9902501981813651,154.34915781876566,0.23980163943891764,-0.9761383450962663
G6ugqRMLLeBr4UmkmyyQ4sHSisC1z2DaUReHanifpump,240,876,114,0.37735849056603776,15,,,,,,,,,
Fyj27HvNPeYXktGa9ifAvwmFnhxNkUr3yUCciZ6jpump,240,886,108,0.3715170278637771,15,10,900,nan,0.017813541677089262,0.5806177262011305,0.6418630427114618,0.6344241483219125,0.31870371859772473,4.426601888370767
FJ6XzNmeFtcKfbLMfQDkeyAVwEnyyhLW87DGdi4Qpump,237,833,93,0.3976510067114094,14,,,,,,,,,
5sd8bKraewJNHFg72scxxYXNeLCASVct1gxqi3Xipump,237,833,93,0.3976510067114094,14,,,,,,,,,
DpHz68ok7iF9i4KniJzy7FaqvQkLBuN962giMtAJpump,237,833,93,0.3976510067114094,14,,,,,,,,,
Fr6e5W5d3YpZ3V1pAM6TTeW7iKkYvgQwgw2y4tNopump,237,835,89,0.3963210702341137,14,5,900,nan,0.36958180679296704,0.9472607200031216,3.423290857746939,0.5878971963931241,0.2757899385343659,4.18448881684297
8bEbF5WZcPKhSUJ3nF4YLdPtsWG7HvU1f1DstXj78BSp,237,835,89,0.3963210702341137,14,,,,,,,,,
Gtxz1uCBCRn9edK1eXpnqbqv3PRcdjkS9JLuXn99pump,233,832,83,0.38898163606010017,14,5,900,nan,-0.05273708580769121,-0.39818300632105474,-0.14960926214994252,1.2256029432009221,0.2218116582541554,0.5236816854889652
5J556RgqipxLMNAjt2heqLx4ftoynXVbNHcgYWHJpump,233,832,83,0.38898163606010017,14,6,3600,nan,nan,nan,0.6925863349991899,0.7185997946732576,2.6197815199343175,1.8798586406162157
CUppbAGRtbWt9N7bPiEqPhKCHMfaFca4zQmbmfY9pump,233,832,83,0.38898163606010017,14,,,,,,,,,
EbzAM6hw7MQP8VNiwixoc5mgW18NkR348HFxVMHypump,290,827,74,0.5400372439478585,14,,,,,,,,,
CVdByCD7SLsj2Kv7UAqGyNJgSVc4Nvd8qdL2U1shpump,290,827,74,0.5400372439478585,14,86,900,nan,0.005735592826229041,-0.1835293449070443,-0.19531589589557208,0.43374622834604376,0.20126820770474554,1.6042475389536506
9LRi6EXPUebHqE2LHfmvioQKAKAUHEnhCRgpKDjepump,290,827,74,0.5400372439478585,14,,,,,,,,,
BW58wHRGGkifcBBJuL3AJnWw6FgvjJWLq6cjG2C6pump,290,827,74,0.5400372439478585,14,120,3600,nan,nan,nan,-0.1441639804195083,0.28526132702738194,0.22892990685799441,10.567138695934132
7iLe8gak6XAcRA6xx4YSnPK4XHjiHyEbq5rqUJ95pump,234,827,73,0.3946037099494098,14,,,,,,,,,
P3KW9c2SLG2k26jW9pZ2rB9omho726aUxjNe68npump,234,827,73,0.3946037099494098,14,7,900,nan,-0.16315005916551784,0.03794307289798726,0.15783990902788214,0.8171098082794305,0.18220431664555048,1.430849166529677
A95ZxECYCw7JKwRo6KCC7KxUDPycBaLb6rdFtqT3pump,234,827,73,0.3946037099494098,14,,,,,,,,,
5wQFpZ2Xstd6khM8WwtVdhegiNEjM48DYErMVVknpump,234,827,73,0.3946037099494098,14,9,900,nan,0.0693121576821143,-0.11287589343097792,-0.1591586163588823,0.20695749078674863,0.05890473608087489,1.1271713826976035
7hpGEPpdDHaeXPW5gFWunPqoEU4C7NxCYT1ZnQF5pump,176,824,70,0.2716049382716049,14,8,900,nan,0.08390071903405172,0.20113699723685685,1.2822811922795916,0.35934965704092414,0.29705155194543326,2.8026231383223785
8boLzTXUwmRhQzzDRTCc7BhcHrFzDgSVrxK1LKespump,176,824,70,0.2716049382716049,14,,,,,,,,,
B5RMggYagf8A77GnX82HfvE57fVQqCmGPZWvcbw8pump,175,822,68,0.2704791344667697,14,,,,,,,,,
2FCerziZbakcdDbuQNgEWPxGRPYGmBzMxEJKkqJEpump,175,822,68,0.2704791344667697,14,,,,,,,,,
8gEtFeKeRt1QREkU51dRih9pQ39PyYpRRZTyLg2v5qFn,235,822,67,0.40034071550255534,14,,,,,,,,,
GPJZWSVZpYsRxuzhv1DKDGTmawPgSxUSd6fpja7Tpump,235,819,69,0.4023972602739726,14,7,900,nan,1.9815889707849803,1.2353322611102566,3.4080935648353305,1.0306671395055862,0.28957173348857596,7.142089339678291
Bh819rWjgJvWKeu5G38AcdZm7aKq8RdSfF7stGREpump,235,819,69,0.4023972602739726,14,,,,,,,,,
8Mb3yGbjf9sC5CeYGtjgkgraG3CLErSJuSp1R98DfvfA,235,819,69,0.4023972602739726,14,37,900,nan,0.3206950274587337,5.00366265730665,4.307608583534488,0.8369799361839182,0.9152674417482543,13.205648479927401
AGXZZNAuqabbKU5VL5sxViaBXTrovSWkZ89LMKHBpump,235,819,69,0.4023972602739726,14,,,,,,,,,
9Lua93QysHFz6Qni12T8gW7Z4XmWx9oy7qW1wg4ipump,230,812,73,0.3951890034364261,14,,,,,,,,,
5R1xMXCLuRxLN7AkQeUxh5jvk68YWZoQeYzguLpgpump,230,812,73,0.3951890034364261,14,,,,,,,,,
F3u272BxZKzUtwvJ6qETC2x7WDWfDjJTESSapK7jpump,230,812,73,0.3951890034364261,14,9,900,nan,0.05665265906102945,0.20224799332666987,0.32122118604228533,0.16822485414763824,0.224025368127003,0.3627478804715025
EXhpr5uQJF3HUAVKQb5Kfth1TpjQeoBL8BgK6DeNpump,290,872,81,0.49828178694158076,15,,,,,,,,,
DVee9B1Ja8pRWRLLruUAaN4Q7zHMh1x5CzdFat98iYv,290,872,81,0.49828178694158076,15,,,,,,,,,
FnjLE4joyVihNMmp6bvYZSyMhy7jT5YHCTwQBBadpump,290,872,87,0.49828178694158076,15,,,,,,,,,
28R7K8iUSmkxSsuZTLq6uqzh1cwNhEkapqkNA6m4pump,290,872,87,0.49828178694158076,15,5,900,nan,0.07112794979421833,0.15527636812755308,0.08764878786362607,0.444311330890103,0.31844856981436875,-0.015365366232589994
7LRpiiDzNVRdxfatA5T1iGvQmPUP46pMkpfGnqYWpump,290,872,87,0.49828178694158076,15,8,900,nan,0.6942097639773013,1.1568827295333155,0.8608313986050222,0.9626277607162596,0.6181546965807614,4.0533752055411805
2U75GgW2W53MZMuH2jSDxcekjFF6Vw4Q7KxYBw5Ypump,350,935,94,0.5982905982905983,16,6,900,nan,-0.030117546226249847,0.6937946771303998,1.2452774277147598,1.037863307935299,0.34922418430828206,5.524877445159073
GKUwfyQoJ9apCaoWyYaQ9RT8inZed469v41M1Ljb1ock,360,944,89,0.6164383561643836,16,,,,,,,,,
FpSH9YniQQFbJ9vwjxqsNHA7DNfecJEWiREFseb6pump,360,944,89,0.6164383561643836,16,6,900,nan,0.08653190688055212,0.10380192454613901,0.13201477288399444,0.30235202359068464,0.2570084387650083,0.5160891498183926
C8ZbVCfxxpJVaYi4An9pS8ckU1WTxNKF2o2PDNvfpump,360,945,88,0.6153846153846154,16,,,,,,,,,
4R8nPamDM3Vk8V6ivpnq2gmvho7ueVpMGU9noXRqpump,360,945,88,0.6153846153846154,16,120,900,nan,-0.05316730951281401,-0.06865886695874612,-0.2193638229170196,0.11881887452583893,0.10068629826418264,-0.6595315771944461
7kfJNK972x3a5W8kmjYkfGK9oZGjkRCEtZkzPkuapump,110,938,89,0.13285024154589373,16,,,,,,,,,
7kJehzAt1WNmXqLwuZzvaN7gnheLLZQsKu7ZMEXkpump,110,938,89,0.13285024154589373,16,5,900,nan,-0.08650382172510829,0.023244735008695505,1.0098428845239633,0.42209791975791566,0.15788468793310234,0.8461649617105753
D95b8fts8djzEbHSqGcS8tUBLXDefbCk91VMmpCCpump,110,938,89,0.13285024154589373,16,,,,,,,,,
DBpvALhKXrptf25jfB7ym2QzVuj4CEmF6gV49b9Vpump,110,938,89,0.13285024154589373,16,18,900,nan,-0.07913317598947889,0.07619709111266726,-0.3818832286242523,0.29912916279126406,0.1209677866483414,0.22726158876182434
YKHT6bCBxZMo22YZSghe6tsp5aFX3mzyMUbbf3Apump,110,938,89,0.13285024154589373,16,,,,,,,,,
4FaSuBUp15t9Qiar9MdpaspkZJU5RK6A3QLnybNCpump,159,929,91,0.2064935064935065,16,,,,,,,,,
BwMGuEjN6uNZN34JoPT3REjFgE6uvAFaJgHdcNT1pump,159,929,91,0.2064935064935065,16,,,,,,,,,
9T4TnPviAXMB1iQXVX647CaYTsGg2sq1t22Kixgypump,159,929,91,0.2064935064935065,16,,,,,,,,,
GiRrLzdan5Gz31ngH4zgxk6ybYaryNVCSLdAJyn1pump,153,923,90,0.1987012987012987,16,,,,,,,,,
BiZcprpAUMJLvzHNu5zRzdpphKKeUNe8gYCm3yQ8pump,213,923,92,0.3,16,18,900,nan,0.06712508197891975,0.1475382017234559,0.3144256208467662,0.4029635551870358,0.21465904201893773,0.7415283732867537
5655KMLBgq98T3XrBC3YZ2DbhbrEtKfrwLvxSLHZpump,213,923,92,0.3,16,6,900,nan,-0.9837005502104285,-0.9849524192208855,-0.9843687328412984,90.33685877387332,0.4152779243178118,-0.9764324858636451
AKsNgG1sTmNe4CV5x88LXSBsN9Sw5kYu6UvLj7Y6pump,213,923,92,0.3,16,,,,,,,,,
DimyNkABRwrdyKJhrCn1JYXtX8B4VybjWzy5j2ugpump,218,921,90,0.310099573257468,16,,,,,,,,,
BA1Sqcj9rzcsHtwavNSVFeCXRioFL9BP4Y7f65UJpump,218,921,90,0.310099573257468,16,,,,,,,,,
9AX92xMkM5Z26nQzmJfb5wRZsLSs4n4fTJxMNom2pump,276,926,87,0.4246153846153846,16,6,900,nan,-0.3754072886069193,-0.5410157862841476,0.993452774297483,1.681197132028393,0.21107142511334379,3.24397290835432
4BQ7xDWWL7aQhST6zKVQMQFnfLvZmogrsakpCbz1pump,287,926,83,0.4491392801251956,16,6,900,nan,-0.29158119622309553,-0.07748717828598584,1.1366495404509074,1.1606139129577058,0.323191151744478,1.3639980041001918
GuXiRMUJSSRGUqe4BZGPokxBUg4EDZfoH5EBt7hopump,289,922,77,0.4565560821484992,16,,,,,,,,,
Bo3sVJY52FNDBxT3uDN92FcL277fXriy1Un7dXuQpump,289,922,74,0.4565560821484992,16,,,,,,,,,
gB8hzbFmZWANMuARYoerRQKtoSn9KJ3w2b4aqm9pump,289,922,74,0.4565560821484992,16,,,,,,,,,
GDgqVdisBKouTEdKtw6GQZtc55DLAS3PrpfLLMRhpump,347,920,73,0.6055846422338569,16,,,,,,,,,
3QgaUegtLJSdXA2NzDoskN4rrJEqTnF1XWA1nBrPpump,349,917,73,0.6144366197183099,16,,,,,,,,,
EV3wbTo13C6xkTshUZaH3LJeStYgiKR7mY8B7am6pump,351,917,75,0.6201413427561837,16,6,900,nan,-0.014527451171990169,0.13492325669910787,0.07047119171262506,0.19474418130353013,0.16453699277867015,1.9389629095578003
6pDk7itpB2xQUQAvJLitNFrCSAinjozdPBcS6UsLpump,351,917,75,0.6201413427561837,16,,,,,,,,,
DZPspRipkDMUxTzd7NdQKqHLW9fSuE8CWmModx2vpump,351,917,73,0.6201413427561837,16,7,900,nan,-0.39666866896830666,-0.4202680899046697,-0.20502320083160663,0.977439121137099,0.4042872741292281,0.6520526382645015
ERMS1vKBCQS5YMJCcFNP464RJyHuHwSLYdpsre5Cpump,355,917,72,0.6316725978647687,16,23,900,nan,0.010838207255445154,-0.005451857998153731,-0.030084273580376575,0.044640758811561904,0.32559403136614473,0.0018782808440334087
9ZtbETDNjnST9Y2zs82FZYy49xUMPgqXRh46YjjRpump,355,917,72,0.6316725978647687,16,120,3600,nan,nan,nan,-0.3952097252972584,1.1924983959864437,0.7386312237104322,32.64314752145069
3MHZzkmgxguPpq7RRzczjzLRDaJwcyGtyFUgbXMEpump,240,917,70,0.35450516986706054,16,17,900,nan,-0.22380782870941707,-0.33385142898578235,-0.2539870034642078,0.5522802052293574,0.3283053391471788,2.057715899203664
Fpu4MNh6MfSu6kAzugvHgW8FnGEXfym9raHP8TpBrKJR,240,917,70,0.35450516986706054,16,9,3600,nan,nan,nan,-0.10641493029197602,0.6266972758109035,0.7977770553809265,-0.014707928740345544
3N5umsvLsk5dbsJegYoG33YfYY3yn5vL78ZPPXY1pump,120,867,65,0.1606425702811245,15,,,,,,,,,
Fw2aagAnwEex2ko7n9QW3ks3Tvfdx2s3SsfsFzErpump,120,867,65,0.1606425702811245,15,10,3600,nan,nan,nan,0.15913909621484468,0.4270923787051619,0.8658319967800221,6.217671102559654
2R6Eazy55Bz6AqkWPCESqW6TrJsVYhSn4Q8tTkdppump,120,867,65,0.1606425702811245,15,,,,,,,,,
FaF8WhqHrTcfwzBp2qRBeHgZbu1wB5S9Yj26KW7Hpump,120,867,65,0.1606425702811245,15,,,,,,,,,
5DsoZbmqVSTh9acH5aUGTt66diaWv3HswYELyn3ipump,120,824,60,0.17045454545454544,14,,,,,,,,,
3EbLPUVi6ZDitZwuv2eLyiudxrggkCQfpHA4JRLTpump,180,824,58,0.2795031055900621,14,,,,,,,,,
d7737w2iLSTqLxLU1Q7ovrHocWdpkNwJ3E2GLyXpump,180,771,55,0.30456852791878175,13,,,,,,,,,
H6QbkNxaVKuwhRLRFpRBhBubqGuPk5bqs2NyVf4epump,180,771,55,0.30456852791878175,13,,,,,,,,,
euXT5wMLfGs1zu2zfgeTUSXhjZNuMMiUZLsLsDKpump,180,771,55,0.30456852791878175,13,,,,,,,,,
3q9ZjmQfJjFVh7QHZykbUWZtFroeZw85jveXHsHYpump,180,771,55,0.30456852791878175,13,,,,,,,,,
3KeUGy1hARt1rCCydFt11r6FuWAYUxnQZJ2JkwKbpump,180,715,57,0.3364485981308411,12,5,900,nan,-0.1269947403191638,-0.2454038442836739,0.3539759020292417,0.51465892150658,0.08543561773241617,0.6457576038726021
92t87DktrvYAi4yuv4TwhAbF4E2C934rJf9zqgsipump,180,715,57,0.3364485981308411,12,,,,,,,,,
BcNhFkxKPTxmYzK4G98VafhaHWBSy9deTujuTok6pump,180,715,57,0.3364485981308411,12,6,900,nan,0.11447222381586664,-0.16195934388922417,0.4638985340857278,0.7201576180067016,0.3244973690909041,4.896794043214803
6EbafsFaXBsHxYuup5nteTniq7pSkxwjsbi55Rptpump,180,715,57,0.3364485981308411,12,,,,,,,,,
HK3igJ6L4MiZZ2zM12Nohu1MGZRzKJvqbpFwz1yopump,180,715,57,0.3364485981308411,12,,,,,,,,,
4UEfFzoo7ZfynUprybpB3HkvxXd5rfzCBB7mzT1Kpump,180,715,57,0.3364485981308411,12,,,,,,,,,
8PoLji879M3Lmoxvmm8z9HDB8qUkFhaWR2g4AMwTpump,240,660,61,0.5714285714285714,11,,,,,,,,,
ENGNF2NEz9EmgW2pGr1vSJHbuSDG183pQ6VnKnGcpump,240,660,64,0.5714285714285714,11,,,,,,,,,
ETguf5mcGLRgcCdKtfCXNVXaCpznFN3TqbUT6aEp5iys,240,660,64,0.5714285714285714,11,47,900,nan,0.0038436916093671503,0.0013139963570396596,0.21501338810492832,0.0038289742133110634,0.0005089508626851388,49.09270054709518
Fg75gUo5qtQhL3iU6iaXaD8b818RK1zGeuysiqFApump,300,660,68,0.8333333333333334,11,10,3600,nan,nan,nan,-0.003571129572117915,0.030696119457695403,0.503166583982191,4.517987328150149
BezdJrtJxz83mewWwcKBjFctGC26ECNaGXo6vMDPpump,300,660,68,0.8333333333333334,11,7,900,nan,0.2069857917578255,0.11424762472056238,0.4257076250945513,0.36232368577259083,0.2435529176138265,2.261705252514131
5Lxdugp5gpE7dau8YRRyKn5KeLaiFUGF9EMmHT1ypump,300,660,71,0.8333333333333334,11,8,900,nan,-0.14873410875212045,-0.3537411178930294,-0.44784799714720835,0.7334425679962779,0.18747205768502426,1.152509083121398
HatVQQP6jGjwbhhYiSotv3dSAVv9Y3NdCAZxUrGupump,178,658,73,0.37083333333333335,11,,,,,,,,,
EVo4bRhn6NB6oRypmvuiiTLcdiXmz9Ft7UyG1WExpump,178,658,73,0.37083333333333335,11,7,3600,nan,nan,nan,0.02660328685295954,0.40695391636280964,1.549127268187049,3.9877642347772557
7Hp8Q8udDSGNqSXrM1tyo4jrisL5LzD7Fzxr4eKcpump,118,718,81,0.19666666666666666,12,,,,,,,,,
DDWjoEafc3AYGXRHtCjqNKXEDmrsmSnF2n54qpqRpump,118,718,81,0.19666666666666666,12,14,900,nan,0.7812667206113504,0.12364120180501481,-0.41188871643939695,0.5379845476456174,0.31430552751649304,9.020335170071492
9BFw5KMWpBfzbEKh7qtp5U6hXRVZ6DqykZGV1BkFpump,118,718,81,0.19666666666666666,12,,,,,,,,,
6sjctAg8j1HY1hWyJz9SQBsGAF9CBt29JHNBbGdfpump,178,718,82,0.3296296296296296,12,,,,,,,,,
EKH3tGXvf5cWoXLdnCYrmdLBPhrykwVxNuMPJg5Lpump,178,718,82,0.3296296296296296,12,6,900,nan,-0.08637981955056329,0.34211026346864126,1.1728306718118917,0.6909326582078144,0.19747170261774757,6.924309876484724
DpphSvKEo4Lyu7yHqMc5pJ4WzuqbP4Y3VQzEjZ8wpump,180,718,87,0.3345724907063197,12,,,,,,,,,
HknhbJQAE3MgswkkU6xAhXLXZS5km17nHibdbk1Epump,180,718,87,0.3345724907063197,12,10,900,nan,0.06416084833844793,0.010266859385909655,0.11004054773034944,0.44567772491581953,0.4221678831790823,3.1368161319389376
EUx9N4UXDyAXJpziyLF36j6Ut3Gu9X3VKEGptbmfpump,180,718,87,0.3345724907063197,12,15,3600,nan,nan,nan,-0.05941331689912088,0.7125450593334836,0.803814865820696,54.19857035135369
5csfa95Xf8ebiCwP9joQ7mtC8KwFvnnejnYx5FbYpump,180,718,87,0.3345724907063197,12,120,900,nan,0.0010974671921892831,0.01013445843275873,0.016197618980568818,0.012523341951524563,0.024267031698289216,0.11435818559900168
3aqXuwp6HuVXs9vdD9Gpg4dzJaUx443RjK7GXzphpump,178,716,91,0.3308550185873606,12,,,,,,,,,
85PbYtsF8i2jdvRfv523dYU5Xo43DKkX3oPXYgWmpump,178,716,91,0.3308550185873606,12,,,,,,,,,
3LdQLw8ZBMcjjRL628MntdgS8KcsEunJWiRncXH6pump,178,716,91,0.3308550185873606,12,10,900,nan,0.14209495365063263,0.375837933778584,-0.040803985386721586,0.33733277862722516,0.24418978518324513,2.826772702180339
8kFboZiKNQ4jC8fyNAiCjm9YGV5qs99Ns7fCchdYpump,174,772,97,0.2909698996655518,13,,,,,,,,,
4tzmsD8EpQVPqHDdzSXWNHJnBLL3fNUFbLv3nufjpump,228,766,99,0.42379182156133827,13,,,,,,,,,
6gjiZpuqSBmxcS8YpdmHGnEokzCGm1ojmzU6KY4Fpump,228,766,101,0.42379182156133827,13,,,,,,,,,
8mwa57WGi1L656Y34BQsAzKt76qxXwfV9FEwFCuvpump,228,766,101,0.42379182156133827,13,,,,,,,,,
VqmABNboP7rM7NGNBDsgX3DvdQJqpa8K9toeTCDpump,228,766,101,0.42379182156133827,13,,,,,,,,,
5QZDZtXwSHGfreiVwkLvhyLm9MN8APjEvEGzyArhpump,228,766,101,0.42379182156133827,13,,,,,,,,,
6soNfReFCsgGD6ANDiwaMFN8MxCbn7BUdEvq98cSpump,228,766,101,0.42379182156133827,13,,,,,,,,,
2vBS6D5mTPbQHChbZevmJ3Ck4uyrmdhbt1LkbyLopump,228,766,101,0.42379182156133827,13,110,3600,nan,nan,nan,-0.18995417825510952,0.3505780956022278,1.645520336099896,0.7466766832331553
96enXoCy7WDNuKj2hyfBTQNyeUMXMSSsJLrem5Wwpump,288,766,102,0.602510460251046,13,,,,,,,,,
3XstzAweu14Djh8K8udr7iZmd6DCwGiaSAdKL5NGpump,288,766,102,0.602510460251046,13,7,900,nan,-0.19825761549335896,-0.30293513816490614,0.9659168830597085,1.0449222471941235,0.303956610944216,2.052688574418289
2wa4EjBBo1YuJeGiYyMgwMvs96b5d1iqdf555sSWpump,288,766,102,0.602510460251046,13,,,,,,,,,
ksxv4TqwfNdEUA2gqbpYSvKTJNetkto6ZuYgjhxpump,288,766,102,0.602510460251046,13,,,,,,,,,
2XzK878GKk8TaiVakJWrvDKgdBDTqxW2X8iG3Xuwpump,290,766,99,0.6092436974789915,13,,,,,,,,,
3U5ZB99H9xsfGKmho5xUtmos8AuQr9wz4mXFbT4fpump,294,766,94,0.6228813559322034,13,,,,,,,,,
GLcxHMDNwPwg6pNifArGBEXran8CfJndETPbk7gspump,354,766,91,0.8592233009708737,13,,,,,,,,,
J6Z7U2z3oJK7ySHN7TEgQANidtmowyBQMdZLCTatntR2,354,766,91,0.8592233009708737,13,,,,,,,,,
AVZKVLTPZ97Ah6AbEZq1TpEPPrzfykq11hN8FrVvpump,299,765,89,0.6416309012875536,13,,,,,,,,,
3G2At3nh674eLVjfRXnJw3HGsgQQAWMXCsPvt9tBpump,299,765,89,0.6416309012875536,13,,,,,,,,,
4j7ofgW1T8T95e2KKMR8AKiuGkUTZaggJnbj46gzpump,239,767,88,0.45265151515151514,13,7,900,nan,0.06847199253616254,-0.2652571340314689,0.752353984461074,0.5302247209441757,0.28429641428010727,2.9068108360791647
Cbj8wDvAvbRw8McNPd7ZhUrcw8NSvsyfR4db6pL6pump,239,767,88,0.45265151515151514,13,13,900,nan,0.17666292888254298,0.017151021555201984,0.7144998340923459,0.562802252070918,0.30088328434285466,40.339532034699154
AfpoytNV4W18dpmPs5FghWJLJx9diH3qX2tuNH7Fpump,239,767,88,0.45265151515151514,13,11,900,nan,0.37798445150977056,0.19092532370537074,0.22505636422714592,0.3192916248634783,0.3524383420511393,16.453597569159637
AE8Wq7D5cCqdkhP3mvahBggVPLYAP8awSvKWJhD2pump,120,767,85,0.18547140649149924,13,8,900,nan,0.2830557254622805,0.10035105351574392,-0.27131203819121674,0.4087061143745571,0.3892112672582983,4.122632889333715
56mZroRW36NLc8evXE1EicVdmCg1Ss9UsB36R2wEpump,180,767,84,0.30664395229982966,13,6,900,nan,0.2988219226492126,0.42152301273509707,1.3467554444701038,0.6363777035345124,0.24955933624508125,3.622900856503657
HpD1TUPDXsZV3BJemr6QsanCyzzBegX97WvoCzt1pump,180,767,84,0.30664395229982966,13,8,900,nan,0.41561919100960654,0.31942414094606986,2.411043458428449,0.44497662859269477,0.34674502811822816,0.5399309917938984
J89dYSJ1KMACAySYUro5ztzbC89vEFJALNjUBub3pump,180,767,84,0.30664395229982966,13,,,,,,,,,
3jX8p8QumtfccakGib95yi4pPDNgQnDJEMmwjk1Upump,180,767,84,0.30664395229982966,13,,,,,,,,,
GRtQ5uL4865792LD3uEX8mSdpbXKbPY7VbTBV9Xupump,180,767,84,0.30664395229982966,13,6,900,nan,-0.3031059072042729,0.06100624474771332,1.2541441660190529,1.3441371767889525,0.14928345825131187,1.963343245511933
2kXrA6YuuBPcP8TeBrNFULv7RJwpmPHR3z6K3ebepump,180,767,84,0.30664395229982966,13,6,900,nan,0.02339549418511888,0.20439858860424853,0.009649431999559921,0.2874982773321137,0.12207036668352596,0.23701903243885702
MJuM4zEQqkbym3VoF5jTLmeUdsvhD447zRnucjzpump,180,769,83,0.30560271646859083,13,6,900,nan,0.3471208949316975,0.07866739183542615,2.5264134736901047,0.4669167522745756,0.12119874014387785,2.4004469771270243
3VFnDoACa991DYe987w354sbvmhqjjzC4Z31SoZepump,180,769,83,0.30560271646859083,13,,,,,,,,,
6UozZHF36zk5GAgamH9zWajvPkGh3eRumc5QKN9Dpump,180,769,83,0.30560271646859083,13,,,,,,,,,
B7soueuN3RoeZsBiAaSbXM2s3CGcUkaq5qhctczvpump,180,769,83,0.30560271646859083,13,,,,,,,,,
2j3z9Kr4PQuTZowLdWD2UCBFuArNgV3aRtsYkFDFpump,180,769,83,0.30560271646859083,13,25,900,nan,0.008186456904851314,-0.016678858105618866,0.09242559321491872,0.15483506610529166,0.49288497040025253,1.726742869681679
AwRYgeefzrgVxR9iC8t7X7xficS7LiWtgJdy1gyLpump,240,779,82,0.4452690166975881,13,6,900,nan,-0.9856715038066091,-0.9959437728095017,-0.9897191622487587,443.86804728796983,0.20096624198435498,-0.9777346003883189
ADzmJCZfwf5vFQ6y9EysRS7xWqFgRc33QAAnj7Mipump,240,779,82,0.4452690166975881,13,,,,,,,,,
8h6e6M3X7zEkTeRagS8rtvcnVALKdRDP3Hcos5Zkpump,240,779,76,0.4452690166975881,13,,,,,,,,,
3YQNnjRitpVfNmuTUEvdSU9piEQ4jZWfCdyM2nU8pump,300,779,74,0.6263048016701461,13,,,,,,,,,
4fKj7fLTwzgJARUN8zmHa3o2fmVwJFTo6PYyHDwXpump,300,779,74,0.6263048016701461,13,,,,,,,,,
CPyHdubDKeae94FCsm3wLqjj2wiJCzX1DvvC4Gx1pump,300,779,74,0.6263048016701461,13,,,,,,,,,
9yzaY15JLqQBScy4E3VyV6cfZzEWCRTAPsUUjLeLpump,300,779,74,0.6263048016701461,13,5,900,nan,0.23333706254367836,0.05639386139006297,0.5632527135373413,0.5133599316418742,0.355036444981606,4.5366809857811345
BkCVuyxNjWk2eyCVEEoWWYikdfGPeFxwBbmDmzGJpump,300,779,72,0.6263048016701461,13,,,,,,,,,
vPeCS5gnJUYGQcyfHrDriVnVUHyntt1Ux2qQKzTpump,300,779,71,0.6263048016701461,13,,,,,,,,,
EJqsDjKYHXEBUX2yqkUr32kvrGEdrQkjC2RKbCAmpump,360,839,72,0.7515657620041754,14,6,900,nan,0.0390963940628406,0.03598702212592153,0.05614082137379328,0.1564660056606911,0.3064467364380609,-0.17387792117792655
9JbFJ4VFvF1f9N23HkUPwq9hYThJBVZskzPhishxpump,240,840,73,0.4,14,,,,,,,,,
7iZirmEZhqK4cR7Psgcq2oBbAHRVvgsNLKCSJj38pump,240,840,73,0.4,14,8,900,nan,0.11705404619838,0.6046279545641486,0.26944831885489773,0.5538394136015607,0.6463971700444663,1.030912023794866
8zFovnzXzK9JDiftGaw7wiRxARrRtvm9Lz12vJ8CZ5ZA,240,840,73,0.4,14,27,900,nan,-0.17188535569295016,-0.17181893824758576,-0.08241048744508528,0.20760002767375077,0.10322873425855379,0.23402481393847285
